Set,FID
001080,32.227
001040,36.541
001120,30.257
000760,34.165
000720,42.738
000120,76.946
001320,47.116
000040,50.589
000960,43.238
000360,153.848
000800,49.070
000280,183.744
000520,77.286
001400,43.538
000920,43.642
000560,76.334
000480,92.570
000200,109.942
000320,165.322
000400,131.880
000160,54.023
000240,113.921
001000,35.628
000880,33.122
000600,76.775
001240,56.269
000440,64.357
001360,27.444
001280,29.248
001200,37.780
000640,63.306
000080,63.731
000840,41.536
001160,25.163
000680,130.923
000000,69.947
